901,10,2,1780735380
2738,30,3,1780736280
9,4,1,1780736640
520,12,1,1780737480
499,10,2,1780738560
1289,9,1,1780739280
968,4,2,1780740000
226,5,1,1780740780
2446,24,3,1780742520
2794,55,4,1780743720
5649,52,5,1780744320
258,2,1,1780745760
717,15,1,1780747080
214,0,1,1780748400
106,4,1,1780748880
449,3,1,1780749420
1893,23,3,1780749840
1243,11,3,1780751460
838,11,1,1780753080
3386,52,4,1780753500
3066,54,4,1780754580
1138,8,2,1780755900
240,2,1,1780757220
217,5,1,1780758660
54,3,1,1780759320
500,4,1,1780759860
1610,27,3,1780760460
669,8,1,1780762140
374,3,1,1780762680
3134,47,4,1780763040
246,4,1,1780763460
5917,37,4,1780763940
3688,32,3,1780765620
2196,21,2,1780767240
1227,12,2,1780768440
629,5,2,1780769760
4581,43,3,1780771020
1937,27,2,1780772040
448,4,1,1780773780
1482,3,2,1780774920
711,4,2,1780775580
1074,14,2,1780776120
367,9,1,1780776900
1430,13,3,1780777740
444,5,1,1780778340
1279,6,1,1780779960
817,15,2,1780781640
3536,25,3,1780783140
1002,11,3,1780783980
960,13,1,1780785000
1115,5,2,1780786380
1241,13,3,1780787160
1368,9,2,1780788720
2068,10,2,1780789200
319,10,2,1780790340
1320,10,1,1780791780
961,7,2,1780793340
70,2,1,1780794120
5285,34,4,1780795320
1028,8,1,1780796040
733,10,1,1780797420
59,4,1,1780798080
373,5,1,1780799640
2953,10,3,1780800600
1211,9,1,1780801140
781,4,2,1780802280
4607,58,5,1780803420
668,5,2,1780804800
108,2,1,1780806600
2473,24,2,1780807500
695,10,1,1780809240
536,12,2,1780810440
6316,31,3,1780811280
6751,42,5,1780812840
72,5,1,1780814520
381,7,1,1780816200
336,3,1,1780816980
2753,11,2,1780818240
376,4,1,1780818660
1229,9,1,1780819620
1452,17,2,1780821360
72,0,1,1780821780
472,7,2,1780822920
1133,12,2,1780824480
455,2,1,1780825560
1027,3,1,1780827300
1469,10,1,1780828440
361,1,1,1780829160
524,7,1,1780829520
848,6,1,1780830060
2976,29,2,1780830360
654,4,2,1780831800
2959,11,2,1780833060
3084,43,5,1780834200
939,14,2,1780834740
1414,8,2,1780835940
308,0,1,1780836840
313,4,1,1780838580
1234,8,2,1780839840
3200,15,2,1780963475
